file_name,label_1
0.pdf,0
1.pdf,0
2.pdf,1
3.pdf,0
4.pdf,0
5.pdf,1
6.pdf,0
7.pdf,0
8.pdf,1
9.pdf,1
10.pdf,0
11.pdf,1
12.pdf,1
13.pdf,0
14.pdf,0
15.pdf,1
16.pdf,0
17.pdf,0
18.pdf,0
19.pdf,1
20.pdf,0
21.pdf,0
22.pdf,0
23.pdf,0
24.pdf,0
25.pdf,0
26.pdf,0
27.pdf,0
28.pdf,0
29.pdf,0
30.pdf,0
31.pdf,0
32.pdf,0
33.pdf,0
34.pdf,1
35.pdf,0
36.pdf,0
37.pdf,0
38.pdf,0
39.pdf,0
40.pdf,0
41.pdf,0
42.pdf,1
43.pdf,0
44.pdf,0
45.pdf,0
46.pdf,0
47.pdf,0
48.pdf,0
49.pdf,0
50.pdf,0
51.pdf,0
52.pdf,0
53.pdf,0
54.pdf,1
55.pdf,0
56.pdf,1
57.pdf,0
58.pdf,0
59.pdf,0
60.pdf,0
61.pdf,0
62.pdf,0
63.pdf,0
64.pdf,0
65.pdf,1
66.pdf,0
67.pdf,1
68.pdf,1
69.pdf,0
70.pdf,0
71.pdf,0
72.pdf,0
73.pdf,0
74.pdf,0
75.pdf,0
76.pdf,0
77.pdf,0
78.pdf,0
79.pdf,0
80.pdf,0
81.pdf,0
82.pdf,0
83.pdf,0
84.pdf,0
85.pdf,0
86.pdf,0
87.pdf,0
88.pdf,0
89.pdf,0
90.pdf,0
91.pdf,0
92.pdf,0
93.pdf,1
94.pdf,0
95.pdf,1
96.pdf,0
97.pdf,0
98.pdf,0
99.pdf,0
100.pdf,0
101.pdf,0
102.pdf,0
103.pdf,0
104.pdf,0
105.pdf,0
106.pdf,0
107.pdf,0
108.pdf,0
109.pdf,0
110.pdf,0
111.pdf,0
112.pdf,0
113.pdf,0
114.pdf,1
115.pdf,0
116.pdf,0
117.pdf,1
118.pdf,0
119.pdf,0
120.pdf,1
121.pdf,1
122.pdf,0
123.pdf,1
124.pdf,0
125.pdf,0
126.pdf,0
127.pdf,0
128.pdf,0
129.pdf,0
130.pdf,0
131.pdf,0
132.pdf,0
133.pdf,0
134.pdf,1
135.pdf,1
136.pdf,0
137.pdf,0
138.pdf,0
139.pdf,1
140.pdf,0
141.pdf,0
142.pdf,0
143.pdf,0
144.pdf,0
145.pdf,0
146.pdf,0
147.pdf,1
148.pdf,0
149.pdf,0
150.pdf,0
151.pdf,0
152.pdf,0
153.pdf,0
154.pdf,0
155.pdf,0
156.pdf,0
157.pdf,0
158.pdf,0
159.pdf,1
160.pdf,1
161.pdf,0
162.pdf,0
163.pdf,0
164.pdf,1
165.pdf,1
166.pdf,0
167.pdf,1
168.pdf,0
169.pdf,0
170.pdf,0
171.pdf,0
172.pdf,0
173.pdf,0
174.pdf,0
175.pdf,0
176.pdf,0
177.pdf,0
178.pdf,0
179.pdf,0
180.pdf,0
181.pdf,0
182.pdf,0
183.pdf,0
184.pdf,0
185.pdf,0
186.pdf,0
187.pdf,0
188.pdf,1
189.pdf,0
190.pdf,0
191.pdf,1
192.pdf,0
193.pdf,0
194.pdf,0
195.pdf,0
196.pdf,0
197.pdf,0
198.pdf,0
199.pdf,0
200.pdf,0
201.pdf,0
202.pdf,0
203.pdf,0
204.pdf,0
205.pdf,0
206.pdf,0
207.pdf,0
208.pdf,0
209.pdf,0
210.pdf,0
211.pdf,0
212.pdf,0
213.pdf,0
214.pdf,0
215.pdf,0
216.pdf,0
217.pdf,0
218.pdf,0
219.pdf,0
220.pdf,0
221.pdf,0
222.pdf,0
223.pdf,0
224.pdf,0
225.pdf,1
226.pdf,0
227.pdf,1
228.pdf,0
229.pdf,0
230.pdf,0
231.pdf,0
232.pdf,0
233.pdf,0
234.pdf,0
235.pdf,1
236.pdf,0
237.pdf,0
238.pdf,0
239.pdf,0
240.pdf,1
